Date,LP60083956,LP60071398,LP60088034,LP60081330,LP60094177,LP60058385,LP60071418,LP60070661
1/4/2005,46.6,102.58,10.96,25.03,10.85,5.47,93.48,8.43
1/5/2005,46.6,102.01,10.93,24.98,10.8,5.52,90.09,8.38
1/6/2005,46.6,101.55,10.97,25.01,10.82,5.51,90.62,8.4
1/7/2005,46.6,101.63,11.07,25.08,10.88,5.54,90.19,8.51
1/10/2005,46.72,101.72,11.09,25.23,10.91,5.55,91.45,8.52
1/11/2005,46.72,101.46,11.04,25.22,10.9,5.53,92.44,8.49
1/12/2005,46.72,101.06,11.03,25.16,10.9,5.53,93.25,8.46
1/13/2005,46.72,101.62,11.08,25.24,10.88,5.56,93.69,8.5
1/14/2005,46.72,102.88,11.19,25.36,10.9,5.57,93.47,8.54
1/17/2005,46.84,104.86,11.25,25.48,10.96,5.59,93.03,8.59
1/18/2005,46.84,104.77,11.3,25.55,10.97,5.6,93.07,8.6
1/19/2005,46.84,104.41,11.25,25.71,11.04,5.6,93.44,8.64
1/20/2005,46.84,104.26,11.16,25.65,10.99,5.56,93.02,8.62
1/21/2005,46.84,103.77,11.16,25.72,11,5.59,92.93,8.63
1/24/2005,46.56,103.44,11.1,25.68,11,5.59,94.85,8.6
1/25/2005,46.56,103.33,11.18,25.72,11.05,5.6,94.26,8.64
1/26/2005,46.56,103.94,11.13,25.83,11.08,5.62,92.63,8.67
1/27/2005,46.56,104.5,11.11,25.91,11.08,5.63,92.5,8.69
1/28/2005,46.56,104.92,11.09,25.99,11.12,5.62,92.47,8.66
1/31/2005,47.24,105.48,11.23,26.14,11.14,5.64,92.09,8.72
2/1/2005,47.24,105.17,11.33,26.2,11.17,5.69,91.35,8.76
2/2/2005,47.24,105.16,11.38,26.4,11.19,5.75,91,8.79
2/3/2005,47.24,105.61,11.35,26.49,11.22,5.72,91.69,8.82
2/4/2005,47.24,106.31,11.41,26.55,11.27,5.76,91.02,8.9
2/7/2005,48,107.81,11.42,26.92,11.32,5.79,91.83,8.95
2/8/2005,48,108.11,11.46,26.91,11.34,5.79,90.17,8.95
2/9/2005,48,108.17,11.34,26.92,11.34,5.77,89.95,8.95
2/10/2005,48,107.42,11.31,26.93,11.33,5.79,89.93,8.94
2/11/2005,48,107.77,11.42,26.97,11.35,5.84,92.97,9.01
2/14/2005,48.57,108.73,11.43,27.16,11.41,5.85,94.44,9.05
2/15/2005,48.57,108.87,11.46,27.21,11.43,5.83,95.29,9.1
2/16/2005,48.57,108.08,11.54,27.27,11.43,5.89,94.4,9.03
2/17/2005,48.57,107.83,11.52,27.25,11.47,5.89,94.12,9.05
2/18/2005,48.57,108.51,11.58,27.29,11.49,5.9,95.05,9.03
2/21/2005,48.44,108.89,11.51,27.34,11.45,5.87,95.32,9.01
2/22/2005,48.44,107.66,11.41,27.15,11.38,5.87,94.57,8.93
2/23/2005,48.44,107,11.38,26.89,11.29,5.85,95.72,8.89
2/24/2005,48.44,107.38,11.35,27.04,11.33,5.86,94.45,8.9
2/25/2005,48.44,108.46,11.44,27.28,11.4,5.93,93.48,8.98
2/28/2005,48.47,109.37,11.47,27.44,11.49,5.97,93.74,9
3/1/2005,48.47,109.35,11.59,27.52,11.53,6.08,94.46,9.04
3/2/2005,48.47,109.16,11.6,27.59,11.56,6.08,92.9,9.03
3/3/2005,48.47,109.39,11.65,27.48,11.5,6.04,93.41,9.02
3/4/2005,48.47,108.8,11.69,27.56,11.51,5.99,92.82,9.1
3/7/2005,49.07,109.31,11.7,27.68,11.55,6.05,93.72,9.11
3/8/2005,49.07,108.6,11.62,27.66,11.53,6.01,93.38,9.07
3/9/2005,49.07,108.82,11.52,27.74,11.53,6.01,95.39,9.03
3/10/2005,49.07,107.79,11.36,27.55,11.47,5.93,95.57,8.96
3/11/2005,49.07,108.33,11.38,27.54,11.46,5.93,94.62,8.98
3/14/2005,48.13,107.9,11.45,27.54,11.43,5.93,95.83,8.99
3/15/2005,48.13,107.46,11.48,27.59,11.45,5.93,95.75,9.03
3/16/2005,48.13,106.84,11.37,27.6,11.41,5.88,95.53,8.93
3/17/2005,48.13,106.59,11.48,27.4,11.3,5.96,95.24,8.92
3/18/2005,48.13,107.69,11.57,27.47,11.32,6.04,95.91,8.98
3/21/2005,48.1,108.14,11.58,27.53,11.36,6.01,95.56,8.94
3/22/2005,48.1,107.53,11.55,27.44,11.31,6.03,93.77,8.94
3/23/2005,48.1,107.11,11.48,27.22,11.27,5.99,92.73,8.89
3/24/2005,48.1,106.59,11.49,27.16,11.29,6,91.49,8.93
3/25/2005,48.1,106.59,11.49,27.16,11.29,6,91.49,8.93
3/28/2005,48.1,106.59,11.49,27.16,11.29,6,91.49,8.93
3/29/2005,47.89,106,11.4,27.22,11.28,5.94,90.89,8.9
3/30/2005,47.89,105.47,11.42,27.13,11.28,5.96,89.12,8.88
3/31/2005,47.89,106.38,11.53,27.27,11.36,6.01,90.18,8.89
4/1/2005,47.89,107.49,11.61,27.54,11.41,6.05,91.28,8.91
4/4/2005,48.29,107.99,11.67,27.48,11.41,6.09,91.58,8.91
4/5/2005,48.29,108.21,11.66,27.58,11.49,6.05,90.61,8.97
4/6/2005,48.29,108.44,11.69,27.65,11.53,6.09,90.28,8.98
4/7/2005,48.29,107.87,11.76,27.77,11.58,6.12,90.48,9.03
4/8/2005,48.29,109.25,11.74,27.89,11.61,6.11,90.97,9.07
4/11/2005,48.43,107.66,11.6,27.89,11.59,6.07,89.93,9.07
4/12/2005,48.43,107.87,11.55,27.93,11.58,6.07,89.96,9.04
4/13/2005,48.43,108.08,11.46,28.03,11.62,6.04,89.2,9.08
4/14/2005,48.43,107.4,11.37,27.96,11.59,5.97,87.73,9.03
4/15/2005,48.43,104.79,11.12,27.63,11.47,5.84,84.59,8.9
4/18/2005,46.73,101.85,10.95,26.92,11.17,5.79,81.84,8.7
4/19/2005,46.73,102.88,11.09,27.13,11.21,5.86,83.18,8.75
4/20/2005,46.73,103.2,11.04,27.22,11.27,5.83,86.39,8.75
4/21/2005,46.73,102.78,11.14,27.02,11.22,5.85,85.34,8.73
4/22/2005,46.73,103.59,11.18,27.23,11.28,5.88,84.83,8.8
4/25/2005,47.3,104.58,11.28,27.16,11.27,5.94,85.3,8.77
4/26/2005,47.3,104.37,11.16,27.18,11.29,5.93,85.49,8.73
4/27/2005,47.3,104.06,11.05,27,11.2,5.88,85.18,8.59
4/28/2005,47.3,104.27,11,26.71,11.13,5.87,82.92,8.59
4/29/2005,47.3,103.93,11.05,26.36,11,5.88,81.46,8.59
5/2/2005,46.86,104.51,11.14,26.36,11.08,5.9,82.22,8.61
5/3/2005,46.86,104.29,11.06,26.6,11.11,5.89,80.84,8.64
5/4/2005,46.86,104.55,11.19,26.55,11.12,5.94,80.6,8.64
5/5/2005,46.86,104.55,11.19,26.55,11.12,5.94,80.6,8.64
5/6/2005,46.86,106.92,11.35,26.62,11.12,5.99,81.96,8.74
5/9/2005,47.6,107.02,11.37,26.66,11.18,6.01,82.51,8.73
5/10/2005,47.6,106.56,11.29,26.74,11.21,5.98,82.56,8.67
5/11/2005,47.6,106.71,11.3,26.61,11.16,5.98,81.28,8.64
5/12/2005,47.6,106.94,11.23,26.71,11.19,6,81.9,8.66
5/13/2005,47.6,106.97,11.18,26.75,11.15,5.97,79.52,8.63
5/16/2005,47.6,106.97,11.18,26.75,11.15,5.97,79.52,8.63
5/17/2005,47.56,106.32,11.24,26.67,11.14,5.94,77.31,8.6
5/18/2005,47.56,106.54,11.38,26.76,11.18,5.98,78.51,8.66
5/19/2005,47.56,107.91,11.4,26.99,11.28,5.99,78.51,8.68
5/20/2005,47.56,108.35,11.49,27.03,11.32,5.99,79.2,8.72
5/23/2005,48.62,108.46,11.49,27.17,11.35,5.92,79.12,8.77
5/24/2005,48.62,108.65,11.52,27.18,11.35,5.98,79.69,8.78
5/25/2005,48.62,107.81,11.48,27.18,11.37,5.99,81.87,8.79
5/26/2005,48.62,107.81,11.67,27.36,11.43,6.08,81.9,8.79
5/27/2005,48.62,109.71,11.67,27.42,11.42,6.07,82.21,8.89
5/30/2005,49.31,110.26,11.77,27.42,11.42,6.09,84.7,8.93
5/31/2005,49.31,111.04,11.77,27.57,11.51,6.09,85.67,8.93
6/1/2005,49.31,111.72,11.95,27.76,11.6,6.17,86.77,9
6/2/2005,49.31,111.75,12.02,27.94,11.71,6.18,88.06,8.99
6/3/2005,49.31,112.36,12.05,28.01,11.69,6.18,88.22,9
6/6/2005,50.39,112.66,12.1,27.98,11.71,6.22,89.36,9.02
6/7/2005,50.39,112.76,12.08,28.08,11.76,6.24,89.41,9.08
6/8/2005,50.39,112.6,12.1,28.22,11.8,6.22,87.4,9.08
6/9/2005,50.39,112.84,12.19,28.21,11.81,6.23,87.76,9.11
6/10/2005,50.39,113.86,12.29,28.33,11.89,6.28,87.8,9.14
6/13/2005,51.23,114.34,12.35,28.58,11.95,6.33,90.47,9.17
6/14/2005,51.23,114.34,12.47,28.62,11.93,6.4,91.2,9.19
6/15/2005,51.23,114.35,12.48,28.76,11.96,6.42,90.43,9.19
6/16/2005,51.23,114.68,12.61,28.77,11.97,6.5,91.47,9.23
6/17/2005,51.23,114.77,12.56,28.81,11.99,6.55,94.03,9.27
6/20/2005,51.92,114.69,12.64,28.79,11.94,6.61,93.78,9.29
6/21/2005,51.92,115.02,12.62,28.91,12.01,6.59,93.2,9.29
6/22/2005,51.92,115.89,12.61,28.98,12.01,6.54,92.84,9.29
6/23/2005,51.92,115.89,12.61,28.98,12.01,6.54,92.84,9.29
6/24/2005,51.92,116.39,12.55,29.05,12.01,6.55,93.51,9.36
6/27/2005,51.74,114.92,12.45,28.92,11.93,6.48,91.9,9.29
6/28/2005,51.74,115.24,12.6,28.9,11.92,6.57,91.61,9.35
6/29/2005,51.74,115.87,12.65,29.09,12,6.59,91.42,9.38
6/30/2005,51.74,115.46,12.61,29.01,11.99,6.59,93.27,9.37
7/1/2005,51.74,115.67,12.7,29.03,12,6.61,93.16,9.44
7/4/2005,52.77,117.25,12.76,29.2,12.06,6.66,93,9.46
7/5/2005,52.77,116.45,12.88,29.3,12.06,6.66,93.97,9.43
7/6/2005,52.77,117.47,12.84,29.36,12.11,6.68,92.92,9.5
